m,n,time,flops
1000, 1000, 7.020789e-01,  1.710634e+09 
1000, 1000, 6.864140e-01,  1.749673e+09 
1000, 1000, 7.275266e-01,  1.650799e+09 
1000, 1000, 6.850683e-01,  1.753110e+09 
1000, 1000, 7.961877e-01,  1.508438e+09 
1000, 1000, 8.365989e-01,  1.435574e+09 
1000, 1000, 7.702219e-01,  1.559291e+09 
1000, 1000, 6.746722e-01,  1.780124e+09 
1000, 1000, 7.691280e-01,  1.561509e+09 
1000, 1000, 8.673908e-01,  1.384612e+09 
100, 100, 8.915152e-03,  1.347145e+09 
100, 100, 1.085615e-02,  1.106285e+09 
100, 100, 1.156253e-02,  1.038700e+09 
100, 100, 1.159608e-02,  1.035695e+09 
100, 100, 1.068426e-02,  1.124083e+09 
100, 100, 1.116103e-02,  1.076066e+09 
100, 100, 1.119440e-02,  1.072858e+09 
100, 100, 1.036371e-02,  1.158852e+09 
100, 100, 1.165268e-02,  1.030664e+09 
100, 100, 9.643344e-03,  1.245419e+09 
100, 20000, 1.198398e+00,  2.004342e+09 
100, 20000, 1.186246e+00,  2.024875e+09 
100, 20000, 1.218740e+00,  1.970888e+09 
100, 20000, 1.189308e+00,  2.019662e+09 
100, 20000, 1.211693e+00,  1.982350e+09 
100, 20000, 1.231232e+00,  1.950891e+09 
100, 20000, 1.180059e+00,  2.035492e+09 
100, 20000, 1.251205e+00,  1.919750e+09 
100, 20000, 1.172138e+00,  2.049246e+09 
100, 20000, 1.207734e+00,  1.988849e+09 
20000, 100, 1.107621e+00,  2.168613e+09 
20000, 100, 1.172950e+00,  2.047828e+09 
20000, 100, 1.129468e+00,  2.126665e+09 
20000, 100, 1.176605e+00,  2.041467e+09 
20000, 100, 1.081566e+00,  2.220853e+09 
20000, 100, 1.155559e+00,  2.078647e+09 
20000, 100, 1.360731e+00,  1.765227e+09 
20000, 100, 1.166770e+00,  2.058675e+09 
20000, 100, 1.132299e+00,  2.121348e+09 
20000, 100, 1.231155e+00,  1.951014e+09 
5000, 5000, 1.393841e+01,  2.154120e+09 
5000, 5000, 1.397113e+01,  2.149074e+09 
5000, 5000, 1.394500e+01,  2.153101e+09 
5000, 5000, 1.396999e+01,  2.149250e+09 
5000, 5000, 1.395201e+01,  2.152020e+09 
5000, 5000, 1.400617e+01,  2.143698e+09 
5000, 5000, 1.394020e+01,  2.153843e+09 
5000, 5000, 1.841548e+01,  1.630422e+09 
5000, 5000, 1.395317e+01,  2.151840e+09 
5000, 5000, 1.407029e+01,  2.133929e+09 
