atomic, cyclic, innerupdate, 1, 150, 100, 2,  5.900900e-04 
atomic, cyclic, innerupdate, 0, 150, 100, 4,  6.993520e-04 
atomic, cyclic, innerupdate, 0, 150, 100, 8,  8.162840e-04 
atomic, cyclic, innerupdate, 0, 150, 100, 16,  1.013319e-03 
atomic, cyclic, innerupdate, 0, 150, 100, 2,  5.798040e-04 
atomic, cyclic, innerupdate, 0, 150, 100, 1,  2.650480e-04 
atomic, cyclic, updateafterloop, 0, 150, 100, 1,  1.720960e-04 
atomic, cyclic, updateafterloop, 0, 150, 100, 2,  2.333930e-04 
atomic, cyclic, updateafterloop, 0, 150, 100, 4,  2.238520e-04 
atomic, cyclic, updateafterloop, 0, 150, 100, 8,  3.097610e-04 
atomic, cyclic, updateafterloop, 0, 150, 100, 16,  5.347700e-04 
atomic, cyclic, updateafterloop, 0, 1000, 1500, 1,  5.046500e-03 
atomic, cyclic, updateafterloop, 0, 1000, 1500, 2,  5.357871e-03 
atomic, cyclic, updateafterloop, 0, 1000, 1500, 4,  3.732182e-03 
atomic, cyclic, updateafterloop, 0, 1000, 1500, 8,  4.454276e-03 
atomic, cyclic, updateafterloop, 0, 1000, 1500, 16,  5.360251e-03 
atomic, cyclic, innerupdateparallelfor, 0, 1000, 1500, 1,  1.608622e-02 
atomic, cyclic, innerupdateparallelfor, 0, 1000, 1500, 2,  6.558670e-02 
atomic, cyclic, innerupdateparallelfor, 0, 1000, 1500, 4,  4.960127e-02 
atomic, cyclic, innerupdateparallelfor, 0, 1000, 1500, 8,  3.945036e-02 
atomic, cyclic, innerupdateparallelfor, 0, 1000, 1500, 16,  3.623085e-02 
atomic, cyclic, innerupdateparallelforscheduledynamic1, 0, 1000, 1500, 1,  4.237259e-02 
atomic, cyclic, innerupdateparallelforscheduledynamic1, 0, 1000, 1500, 2,  1.780670e-01 
atomic, cyclic, innerupdateparallelforscheduledynamic1, 0, 1000, 1500, 4,  2.699169e-01 
atomic, cyclic, innerupdateparallelforscheduledynamic1, 0, 1000, 1500, 8,  3.019681e-01 
atomic, cyclic, innerupdateparallelforscheduledynamic1, 0, 1000, 1500, 16,  3.076829e-01 
atomic, cyclic, innerupdateparallelforscheduleguided, 0, 1000, 1500, 1,  1.667648e-02 
atomic, cyclic, innerupdateparallelforscheduleguided, 0, 1000, 1500, 2,  6.458071e-02 
atomic, cyclic, innerupdateparallelforscheduleguided, 0, 1000, 1500, 4,  4.996478e-02 
atomic, cyclic, innerupdateparallelforscheduleguided, 0, 1000, 1500, 8,  4.009454e-02 
atomic, cyclic, innerupdateparallelforscheduleguided, 0, 1000, 1500, 16,  3.711914e-02 
atomic, sectioned, updateafterloop, 0, 10, 5, 1,  2.378400e-05 
atomic, sectioned, updateafterloop, 1, 10, 5, 1,  6.591200e-05 
atomic, sectioned, updateafterloop, 1, 10, 5, 1,  6.368600e-05 
atomic, sectioned, updateafterloop, 1, 10, 5, 2,  1.375980e-04 
atomic, sectioned, updateafterloop, 1, 10, 5, 3,  1.859510e-04 
atomic, sectioned, updateafterloop, 1, 10, 5, 3,  1.971540e-04 
atomic, sectioned, updateafterloop, 1, 10, 5, 3,  2.120060e-04 
atomic, sectioned, updateafterloop, 1, 150, 100, 4,  1.841761e-02 
atomic, sectioned, updateafterloop, 1, 150, 100, 4,  2.275640e-04 
atomic, sectioned, updateafterloop, 0, 150, 100, 1,  7.894300e-05 
atomic, sectioned, updateafterloop, 0, 150, 100, 2,  1.534310e-04 
atomic, sectioned, updateafterloop, 0, 150, 100, 4,  1.743270e-04 
atomic, sectioned, updateafterloop, 0, 150, 100, 1,  8.357600e-05 
atomic, sectioned, updateafterloop, 0, 150, 100, 2,  1.561470e-04 
atomic, sectioned, updateafterloop, 0, 150, 100, 4,  1.735450e-04 
atomic, sectioned, updateafterloop, 0, 150, 100, 8,  2.539960e-04 
atomic, sectioned, updateafterloop, 0, 150, 100, 16,  7.931140e-04 
atomic, sectioned, updateafterloop, 0, 150, 100, 16,  4.867620e-04 
atomic, sectioned, updateafterloop, 0, 1000, 1500, 1,  1.970119e-03 
atomic, sectioned, updateafterloop, 0, 1000, 1500, 2,  1.671183e-03 
atomic, sectioned, updateafterloop, 0, 1000, 1500, 3,  1.156391e-03 
atomic, sectioned, updateafterloop, 0, 1000, 1500, 4,  9.748040e-04 
atomic, sectioned, updateafterloop, 0, 1000, 1500, 8,  8.808620e-04 
atomic, sectioned, updateafterloop, 0, 1000, 1500, 4,  1.047837e-03 
atomic, sectioned, updateafterloop, 0, 1000, 1500, 8,  9.127170e-04 
atomic, sectioned, updateafterloop, 0, 1000, 1500, 16,  1.000678e-03 
atomic, sectioned, updateafterloop, 0, 15000, 10000, 1,  1.042081e-01 
atomic, sectioned, updateafterloop, 0, 15000, 10000, 2,  1.218919e-01 
atomic, sectioned, updateafterloop, 0, 15000, 10000, 4,  7.566022e-02 
atomic, sectioned, updateafterloop, 0, 15000, 10000, 8,  5.513317e-02 
atomic, sectioned, updateafterloop, 0, 15000, 10000, 16,  5.142728e-02 
atomic, sectioned, updateafterloop, 0, 15000, 10000, 32,  4.995185e-02 
